Id,Text,Trinary,Source
601,One of my favorite places in the whole wide world. Thanks for the vid.,1,
602,"""Slash sounds awesome as always! I don't like the vocalist though. D: Go ahead and give me minus for posting my opinion, jeez.""",1,
603,"""annoying ass commentators, thick accent + not being eloquent at all + repetitive, dude needs a speech therapist.""",-1,
604,"""He says: """"Making Tofu"""", then """"Hello, today we are going to be making tofu"""", """"with a soyquick machine"""".... :o)""",0,
605,"""Haha, Spaceballs demos right?State of the art and 9 fingers, correct?""",0,
606,Your really beautiful ! ,1,
607,"""Wrong. Nobody works harder than Iowa. Perhaps you watched 1 practice etc... Minnesota works hard, but do you think it's because J. Robinson spent so much tme as an assistant at Iowa?Dan Gable is regarded as the hardest worker EVER, and that mentality and culture has continued there. Check the number of NCAA titles they have won since 1975.""",0,
608,lol fare enough :~),1,
609,all about THE ORIGINAL....just like BOBBY!!!!!!!,0,
610,yoo probbally didnt get fsx then,0,
611,i was there today!!!,0,
612,some people like the opposite of this video..tho this is impressive i couldn't believe it,1,
613,"""@a7xphughesa7x actually out of 10: Corey Taylor=1000000000000000000, M. Shadows= 7 (if that)""",0,
614,i like your dogmy puppy has started responding very well.he doesnt always but most of the time he does.his name's Keo,1,
615,"""WELL PUT TOGETHER, 6 SONG CLIPS IN 1 DEMO MIXHOPE YOU ENJOY THIS THANKS.""",1,
616,"""I love this song and I'm from the Santa Cruz mountains but I'm not there right now and missing it a bit, so......thank you so much for this!""",1,
617,I saw this right before taking a lot of old (1990s old) electronics to recycling... now I just dont know WHAT to do with them.,0,
618,yea me 2 dat would be the best thing ever,1,
619,"""Hey, THX for the quick bit of info...So let me get this straight: You're going to give me a special report on web projects AND a consultation for FREE? I haven't seen a web development company do this before...I'll be calling you this Tuesday.""",1,
620,PLease try to upload The Sword in the Stone,1,
621,I like your cover of this song -- the reverb on your voice and slow acoustic guitar sound great together.,1,
622,@bugman05 i agree,0,
623,What a yummy video! I'm glad you enjoyed yourself.:),1,
624,very pretty patterns 0:52 - 0:56,1,
625,Thanks so much for putting these up.,1,
626,this game is like a teenage verison of GTA,1,
627,lol! exactly.,1,
628,bryn ..the superhero....fantastic stuff...,1,
629,@anamfirst What's happening in this show?,0,
630,Paul mate. Loved that interview!!!,1,
631,@kylhul81 Saying oil is going up...Is child play. Anyone with just a gram of knowledge knows the direction of commodities when you print too much money...as gold goes so does all other commodities.,0,
632,get out of my office mr.sob i should try that sometime,-1,
633,That should be a commercial,0,
634,@yogitavijay you are a fucking retard. If shiva had some chickens get eaten he would turn them into boots to you retard! Your a bleeding heart loser and I'll bet you are a hypocrite as you are most likely wearing leather shoes and eating meat from an anim,-1,
635,omg i really hope you feel better .wait i'm crying.,-1,
636,That's a nervous chap ....,-1,
637,wat is it thn,0,
638,thats a stunning horse. do you stud him. i rode till i was about 20 but had a pretty bad fall and got dragged for 100 yards on concrete. havent rode since. used to have a 16 hand palemino. loved that horse. good riding by the way x,1,
639,i`ve seen this guy at the skate park,0,
640,how do i seperate my higher self from my physical mind?is there examples for this triangle?how can the physical mind be in charge of your selfcan someone please give me an example of this triangle in action? from where the physical mind perceives the the brain receives and the higher self conceives,-1,
641,"""G. Bush was a total frailer. But look ad you president Obama, you are my inspiration, here you are ad your best, this speech was the best speech I have heard in a life time. It applauds not only the great students but also for the US nation and all regions on the world. """,1,
642,"""Well, ya know, everyone has an opinion. And in my opinion, your opinion is SHIT!""",-1,
643,Yes it is.,0,
644,These kinds of lies don't work anymore.,-1,
645,"""@lovelydove,I just went to your channel & saw your """"favorites."""" You listen to George Bloomer (a false prophet)? & you're interested in hatha yoga (a demonic practice from Hinduism)?? ...No wonder you called my comments """"negative""""....you have itching ears""",-1,
646,bbw are waiting for you till u come naneedj.info,0,
647,the three wheels are comletely new not ones they havent come out with in a long time,0,
648,@ECOOL76 only the Very Special ones,0,
649,hahahaha!,1,
650,Don't even notice that there's no bass. He gets a hell of a sound out of that thumb of his.,-1,
651,Very interesting. I found her show and she has some great ones. The problem I have with most paranormal shows it seems they spend all their time either A.Interviewing each other over and over. Or B.Slamming each other. So finding hers was refreshing. Thanks for leading me that way.,1,
652,I love these guys!,1,
653,get it kidds.they lookk likee they having fun!,1,
654,PINGAS...ANOYYING,0,
655,I heard about this on This American Life,0,
656,"""The Bush administration attached no accountability for the first bail-out, nice that you are trying to imply that its the Obama administration that gave the banks the money. He saw what Bush and co. did and is actually helping Americans not private companies. Lay the blame at the right feet, the right and they are still kicking and scatching every step of the way. We are taking American back it been 2 weeks let see the right-wing-nuts in 2 years, We are taking America back for true Americans.""",-1,
657,@UncleTonka lmaoo,0,
658,My wife and I have talked to him a few times. Seen him at a few rallies and Albuquerque. Trying to talk his parents to come to EAA in Oshkosh WI. Great guy just like his parents.,1,
659,Disgusting. Our country is in ruins.,-1,
660,"""I bought $300K in gold 3 years ago on Peter's advice (bullion). I bought it at about $580/oz if I recall.Smart people listen to guys like Peter Schiff, Alex Jones, Ron Paul, Joesph Stiglitz, to name a few.""",1,
661,blues are pretty (:,1,
662,I wish more of the youth today would take their mind out of mind off B.E.T. and see whats going on. We've got to break these generational curses and kill our slave mentality. Though i don't feel like every brother is a brother(alot will sell you out quick) we can at least live together without always killing each other. We weren't given our 40 acres and a mule...SO NOW WE HAVE TO TAKE IT!! GOD BLESS,-1,
663,I was there when these two guys did this... the whole thing was sooooooooo funny!!! anyone have the whole thing? amazing video though!,1,
664,Plzzz #7!!!!!!!!,0,
665,Tube,0,
666,"""this is just the best, Ratt fan 4 life!""",1,
667,Freaking awesome!!! Isn't that crystal right thurr??? Lol,1,
668,Hidup Anwar! Mati Najib!,0,
669,"""hei, hei ,hei, hahahah, hard terrible!!""",-1,
670,"""From my understanding of biology freezing living cells alters the cells especially when unfrozen....something with salts bursting the cell membrane...hm maybe that only applies to mammals cells? Heck, I'd still eat it.""",0,
671,dis shit iz fly az fuck,-1,
672,"""I shot this to show on a big screen at the West Cliff House Owners' Association AGM in the Salt House on 28th April, so folks had something to watch before the meeting began. It was at the time Google was in the headlines cruising round the UK with car-cams, so it was topical. As for opening the gate, I wanted the cruise to be circular so it could run and run. If you look carefully, you'll see it was patched together from 3 separate runs!""",-1,
673,LL Cool J and Eminem disliked this video,-1,
674,O__OThe masking is perfect! I don't know how you did all that without your hand falling off. ;DI loved it 8D,1,
675,@noobkiller329 How can nasty looking women be prostititutes?,-1,
676,"""one Chinese government lasted 800 years, things can be better than 200 years sir.""",0,
677,lol sick,-1,
678,=) r.i.p outlawz for life,-1,
679,there's no way that statement was serious.,-1,
680,Hace falta unos cuantos Ron Paules para que los EEUU se arregle...,0,
681,Theshroomery check it out,0,
682,I luv hairy bum cheeks,1,
683,"""I was in Mitre Square on new years eve. There is an atmosphere, even today.Thanks for the video.""",1,
684,@Cdubzhappy: lmao....oh but acid is so much funner.,1,
685,@clehneis then dont watch you moron.,-1,
686,I never noticed the roman numerals in the back ground,0,
687,"""I didn't even watch gh back when helena was around, but I have seen clips of helena at her best. I LOVE HELENA'S RETURN!!!!!""",1,
688,"""i do have to say i think champ car was better series but primaraly in the 90's and i am sad to say i came into this world to late to see the rise of tracy, or remember to much of zanardi or moore. ohh and i miss turbos""",-1,
689,Just seen these guys at Edinburgh fringe and they are fab! Definate improvement on Lady (?) BlahBlah!!,1,
690,could it be that the generation that wouldn't trust anyone over 30 when they were 20 NOW doesn't trust anyone under 50 now that they're 60? Get the baby boomers out! Barack Obama not only bridges the racial wounds in this country but will be a generational shift in power... Obama 08!,1,
691,dinho=atheist evangelistIf you think hitchens is not a hater you are in serious denial.enlighten yourself with thiswatch?v=GMsjWb975tM,-1,
692,i so agree!!! XD This may be the best anime i watched this year!!!! seriously it just keep gstting better and better every time i watch a new anime.....i wonder if this is a book? i hope so cause i would TOTALY buy it!!!! XD,1,
693,lol gl with a 12a,1,
694,"""oh no, the recap episode! (i'll watch it anyway)""",0,
695,the first thing i noticed is............ TIFA XDbut anyways good job and keep going la,1,
696,@AndreMitStrich because andremit they don't like to hear the truth,1,
697,"""Also viewable; SHEER PRIDE Ghost dance, VIBE Everyone's a Winner, VIBE Rescue Me, VIBE I Believe, FORMOSA Metal Guru""",1,
698,awesome vid =],1,
699,I love Madoka!!~ And such a nice song :P,1,
700,"""@Tekken6WannaB True, your right. The possibility of them both crossing paths is at least 80% since no one else is near the rank level. Right now they are both DragonLords, I don't really care what rank they are cause I know once the other pros decide to c""",-1,
701,cute - but why is this on snarkies - should we all post babies,1,
702,Very pretty. What is your hair type if you don't mind me asking?,1,
703,Those are his girls!!!!,0,
704,"""A Classic in the world of Comedy, the writing, storyline & acting all come together flawlessly which very few films of any nature even come within a mile of doing.""",1,
705,great song,1,
706,this is y i LOVE maryland football,1,
707,@666fannyfart what rubbish. you are not a doctor.,-1,
708,"""By the way, your opening is awesome.""",1,
709,Stupid ass bitch ass mother fucken ass reporter,-1,
710,"""I dont like this album much at all, theres only 4 or 5 songs on it that really stand out to me.. Theres not enough heavy stuff on it""",0,
711,best show ever!!! he's sarcastic and hilarious!,-1,
712,"""Adam Sandler is from Manchester New Hampshire...Anyway Eli was good in this movie.I like this interview side to him better than all the """"torture porn"""" shit...""",-1,
713,"""hate to say it but none of us live forever. some people die, not everyone can be saved. i would def support a private fire dept, prob be included in ur mortgage. would prob be cheaper, but i also not against public depts either.""",-1,
714,Gorgeous,1,
715,does it work well with the bumper?,0,
716,he can die from that he can overload his stomach causing it to push his lungs and ribs suffication and it pops,0,
717,"""I don't know anything about the drummer, but is that Jo and Danny in this band?""",0,
718,"""@TimothyParadox1 It should involve Gordan, but just in basic speech. It should follow the basic storyline of HL2, but focus on the soldiers life, not the actually game.""",0,
719,"""oh my god... esta cancion la escuche en el verano del 97 y me enamore de esta cancion, la he buscado por muchos medios y no la encontraba... pense que solo era un promo que no dio bola.""",0,
720,Can I move in with you guys??? :3,1,
721,R u a mac professsional artist? Cause ur really good!,1,
722,may allah bless him jannah may it give reflect humanity peace and light,1,
723,he needs to start doing stairs,0,
724,are rude comments by ignorant people really needed? there's an option known by most people to put the volume on 'mute' or turning the sound off. hope that's not too difficult for you to figure out.,-1,
725,thank u 4 uploading!!!! P.S i am makeing flan now!!!!!!!!!,1,
726,"""Yeah Im pretty sure because before I changed it it was always """"industrial/techno/gothic"""".""",1,
727,Just once I would love to do the Monkee walk with some friends like this -- just for the fun and laugh of it (can we throw in the Monkees too? -- LOL).,1,
728,where he from?,0,
729,like itt<3<3,1,
730,GO CHUCK GO CHUCK GO GO GO CHUCK!,0,
731,female seeking a married sugar daddy,0,
732,"""@vanityvideo just because i dont have a mac doesnt mean im not smart. i bet you can barely grasp basic 10th grade algebra. i never said about the right thing, you said the population is dying when its clealy not""",-1,
733,My pet ferret is named 'Charlie' because of that video,0,
734,"""And he was forced to flee Jamaica after one of his early concerts, later returning to join up with the Wailers. SO it isn't crazy to think he was assasinated, but as it stands right now, most of the evidence points towards a natural death (cancer). Unless someone has turned up new evidence, which I would REALLY be interested in hearing.""",-1,
735,Freakin' Awesome. <3,-1,
736,And remember...selena luved donna summers & janet jackson and they were african american so selena is the best person wen it comes 2 lovin different kinds of races,1,
737,"""Langue...langue..... We all have the government we deserve. Somalia is a cesspool, so you have a cesspool for a government. It's at the point that Somalia's Neighbors had to intervene because off cross border raids and the West has too shoot pirates to protect global trade routes. Somalia Is like Retarded child spreading shit all over the walls, which others have too clean up!""",-1,
738,ahahhahahaha,1,
739,Thai Male girls for marriage gettop5.info,0,
740,"""I love this, U keep Me Fallin Head Over Heals :-)""",1,
741,"""Send me your direct email in a private message on youtube, and I will email an mp3 to you.""",0,
742,LOVE the Movie LOVE the Song LOVE Tanner and Nathaniel and LOVE what you have done with IT!!!,1,
743,how much does it cost u downloading this game,0,
744,guess that car that will end up splitting in half shouldnt have been there at the time.,0,
745,First thing first you should learn how to spell .Second who cares that he is bi racial i don't care he is the best man for the job and Powell is free to support whom ever he see fit too i could care less about repbu==lick==ass there the ones out of touch that's why their not in charge any more because there so out of touch? Get a ged then talk too me inbred white trailer trash cunt,-1,
746,This is the winemaker.Always discard the,0,
747,"""In Sickness and in Health is Pending DVD release. Spread the word to other fan's so we get all 6 series and the 5 christmas specials on DVD. Series 1 will be released soon, as soon as I get the release date it'll be on here...""",1,
748,"""Gosh , you can feel her Voice !!""",0,
749,totally awesome,1,
750,"""@sky466 its a guy called johnny rose, i can't find his version on youtube either though, if thats what you mean""",0,
751,it look lie a monopod,0,
752,"""4 weeks prior to 9/11 my son and I flew to Brazil, we saw no high security in the 2 US airports through which we passed. When we arrived at GRU the airport was filled with Military, Police, sniffer dogs, security was intense. I asked what was going on, they said there are terrorist threats to airports! Everywhere we went in SP we saw high security, embassies, public bldgs, shopping centers, etc. We returned 5 days before 9/11, still no high security in the 2 US airports...who dropped the ball?""",-1,
753,group hug! :D!!!,1,
754,"""Can't quite see the strings! But, they are puppets! Do they Fly? Do not think so!""",0,
755,se escucho bacan ese dia en el estadio ya que estaba lleno,0,
756,what is this song called btw i loved it ive watched it so many times before,1,
757,Thank you Diana for all of them. Loved ithem yesterday and love them today,1,
758,"""I saw Roger Waters performing Dark Side of the Moon and others on July 12, 2007 at Darien Lake, NY, best show ever. He opened with this song, but the visuals were different; in my opinion, way cooler, because instead of a picture, it was the video of the hammers marching along with the rhytum of the music, occasionally changing from white to red, and back. To agree with you, perfect song to open with!""",1,
759,an i swear this track says amilli so much that it can get annoying lol check out chamillionaire's swagger like us rmx... NASTTTYY,-1,
760,afiurfcuvv98mupuugo,0,
761,I was 6 yrs old and my Elementary School bus driver would play it on my bus to school....Cool huh....,1,
762,first view comment and rate good video,1,
763,The beautiful story of our origins is bringing us together as the people of the one race... the human race.,1,
764,Ron Paul 2012,0,
765,Nekoooooooooooooooooooooooooooooooooooooooooo my case,0,
766,"""The greys are real, this is proofreally nice song 5/5""",1,
767,"""i was looking for this tutorial from a long time actualy i was knowing all the steps untill you load the shader color with the image i didn't know maya actually figure out to load automaticaly all the image sequence to be corespondent with frames , and i ceck lots of tutorials and you are the first one ho do this thanks alot ,i configure the plane diferently and maya does the calculation for me ,i drop the plane then i go in inputs with 3 height 2 and after i scale x and z:8 to optain 24/16""",-1,
768,what a horrible dream!,-1,
769,"""Now live in USA , but proud to say I come from a good English navy family. Both Grandfathers Father and about eight other family members.""",1,
770,"""Actually, if you can't tell that my text, containing four words, was sarcastic, then there's no point explaining further... 9:24 wasted of both our lives dude. Peace.""",-1,
771,"""Americans are thick...believe me, I've been living amongst them for the past ten years.""",0,
772,"""sad thing is, is that this will probly happen in real life""",-1,
773,wow what a super fabulous Mum you are..your children are sure to have some fantastic keepsakes..you are so creative and talented i love all your work,1,
774,It realy touches u if u think how much theyhave and how much we have today in america...I saw it at church a week ago and I cried its realy sad...my church is rasing money to build and fill a fresh water well in Kenya...and we are almost there!,-1,
775,@10cx thank you :D,1,
776,so what does gquit meen game quit?,-1,
777,get fucked yankee boy i aint no helpless woman or child you think you can bully so go fuc yaself...ok YA!,-1,
778,"""No kidding, I remember my first video camera, lol!""",1,
779,What would be the first step to ask a girl out ?,0,
780,"""Just because something affects society doesn't classify it as a """"social issue."""" Every issue affects society, so by that logic every issue is a """"social issue"""" and why even put """"social"""" in there, just call them """"issues.""""lol fuck semantics anyways.Capitalism may be greed based, but that's because we're greedy by nature, civilized or not. Also, calling people idiots for not bowing to your beliefs does nothing to convince anybody.""",-1,
781,"""@Catherine8raw His immune system was already low before the TB and Hepatitis hit. He had an accident where he cut his knee I believe, when he was a teenager, and he got the HPV infection. But unfortunately his immune system was unable to beat it so he gre""",-1,
782,The story was on We Got to Do Better (Hot Ghetto Mess) this week on BET!!,0,
783,The show in general is well... stupid and Michelle just makes it all much worse she's such a loser wannabe Feminist.,-1,
784,i have to do this before i die!!!,0,
785,Thanks Pascal,1,
786,You guys are legittt!,0,
787,the weapon... the foot ahhh this guy cracks me up.,-1,
788,"""Thats not a 08, thats a 06 or 07 Classic, this body style was completely phased out in 08 for the GMT-900 Platform.""",0,
789,@TheSpazmAttack you will get the hang of it,-1,
790,Hope she catches fire. Her opponent sure handed her a sure fire shovel to bury him with.,-1,
791,I'm going to take a wild guess and say Eddie long ain't gonna be there,0,
792,yuppie flu?,0,
793,this was very informative could you make one for (please come to boston) by kenny loggins?!,1,
794,2 hours and 35 minutes.,0,
795,I think you're refering to Rosie O'Donnel sitting next to her.,0,
796,@EvilDoR wow. they had better make it so all classes are open to all genders quick or their reputation is going to take a hit,1,
797,"""Sounds like your tomatoes aren't being pollinated. Do you have enough bees in your area? You can pollinate your tomatoes yourself with a small paint brush. Just touch each tomatoe blossom with the tip of the paintbrush as a bee would do. You should get a better yield. Also, thin out the bloooms so you only have two tomatoes on each stem. This will allow them to develop into bigger, more tastey tomatoes. Good luck.""",1,
798,Mises' Cable network would be awesome.,1,
799,@varunlele lots of rebuilds :S thats wut happeneds in a 2 stroke,-1,
800,Sickkkk!!!,-1,
801,what the hell was she doing with her underwear down?,-1,
802,She had the voice of an Angel. The moment you hear her you fall in love with her.,1,
803,that park looks amazing,1,
804,what a beautiful song.,1,
805,@biggayal1992 Next to Victory with a bronze statue of ADM Jellicoe on the bridge.,0,
806,"""@Cr3ater yea it does look a little dry huh? I BBQ mine, glaze it, and keep the fat on to keep it juicy""",-1,
807,dude this is sweet this made is so ultra fast its unbelievable thanx XD,1,
808,how he die! he looked in good shape!,1,
809,my little girl cant stop watching,0,
810,o_o,0,
811,i love deidara and sasori!!!! *fangirl squeal then faints*,1,
812,tru genius,0,
813,"""Noa: yea, you woulda been OK as long as the roux was in the same temperature range as the stock AND the stock was not too """"greasy"""" to begin with (SUBSCRIBE! see """"magic dinner party video"""" for stock scumming & degreasing techniques). For demi's- I still MUCH prefer: 1) au natural 2) Arrowroot slurry over roux. keep it up, Kid, your gonna do fine.""",1,
814,What song is this??,0,
815,thats right man homey,0,
816,Still my favourite album from Esem.,1,
817,"""I love this video production, even though it may be """"amateur"""". It definitely struck a chord with me, and the narration is perfect in my humble opinion. Great job!""",1,
818,i have a twin sister and her name is rosemary hope miss rosemary gets well soon she is just a sweetie and sooo is rickey !!!! :0),1,
819,Then Mary's head is lit on fire,0,
820,guygiuybhb bbhjui,0,
821,Respect lads!That guy was full of shit.Anyother way yuo can remove one without removing the vehicle?,1,
822,ITS ABOUT TIME!,0,
823,"""ahh man, thats how im gonna propose to my soulmate :)""",1,
824,trimakasih mas riyanto 2000 atas uploudingnya hj karisma saya juga orang madiun kok yg skrng berada di usa.,0,
825,who the fuck said fuck oy nope nigga fuck u oyyy night was gooody ,-1,
826,the diffrence is in america its not a god in japan it is america changed it to burning gundam becuz it might be offending some ppl calling gundam a god,-1,
827,BBBBBBBBB lol please,1,
828,@scudFDL i just wish they showed it a bit clearer..,0,
829,love the song..da video is kinda dark,1,
830,Another great video. Thanks!,1,
831,505!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,
832,And then it got quiet,0,
833,I wass theree! (L),0,
834,You asswipe.,-1,
835,"""Thanks for your kind comment! I picked this little whistle up in a thrift store for $2 about three months ago, sanitized it, played it once and set it aside - it sounded REALLY rough. Today I took it out and tweaked it a little and I was pretty pleased with the tone. Again, thanks! Looking forward to more videos from you as well!""",-1,
836,this my straight issh.. she went hard on this.. big ups to pharell for helpin her make this! two geniuses at wk!,0,
837,AWESOME THANK U :) NAMASTE SUNSHINE SMILES :),1,
838,do you need to be a specific class to do this glitch like soldier or adept etc?,1,
839,what album is this one? anybody?,0,
840,omg i miss you too. holy crap Nique (i know how to say your nickname but not spell it lol)im gonna send you a note,-1,
841,sneaky! but not very good loot>.>,-1,
842,please upload this movie,1,
843,He says multiple times that an angel said that he's going to see Jehovah. Fascinating. An angel uses a mistranslation of the name YHWH (Yahweh) from the middle ages (1500 a.d. or so). I don't see why an angel would use a mistranslated name when referring to Almighty God in His Heaven.,0,
844,@philosophic9 we are just starting to show it at festivals so hopefully sometime next year to the public... you can follow the film on Twitter (@rubblekings) for screening updates...,0,
845,There are Anderson PowerPoles that go up to 75W... I try to use Anderson's for everything I do. Just makes everything universal.,0,
846,"""Because it's hard to save up money in the original. Besides, you're always gonna buy new weapons because the enemies get tougher. For example, you don't need to buy the Walloper (though it will help in Gaspar), you absolutely need to buy the Devastator, since it's gonna have to be your first big source of damage UNTIL you buy the R.Y.N.O.""",-1,
847,"""It's """"From Yesterday"""" by 30 seconds to Mars""",0,
848,this video is boring,-1,
849,"""also, does this video make the showwx look brighter, darker, or the same as in real life?""",0,
850,"""I love O Fortuna, its such an epic peice of poetry. I am gonna use it as a trailer for one my videos. I'm not trying to advertise my channel either. I'm just saying how cool this song is. I first heard it on Son of Jackass. I thought the way they used it was halarious XD""",1,
851,oh man!..... batista and undertaker are two of my favorite wrestlers!!!!,1,
852,gracias por subirla..hace tiempo la andaba buscando...pa primera vez q la vi fue hace un a?o en estados unidos y por desgracia fue en hallowen...estaba q me cagaba el 30 de octubre para salir al desfile de disfraces...pero esta perra esta pelicula..pinche ni?o asesino..,1,
853,"""omg, she is so dumb.""",-1,
854,Thank you for this beautiful song. Rest in Peace Monsieur Brel.,1,
855,"""@WhoYouCantSee SWIM has had long lasting residual effects with DMT....... people need to face it, no mind altering drug is ever going to be good for you, however there many people who can put their mind under continual abuse via psychedelics and be fine,""",-1,
856,"""i was talking about p2p genius. have you seen all the famous pkers they train range up first? range of ish,kids ranqe etc? then they get melee stats.""",0,
857,"""Glad that 10cc, Suzi Quatro, The Sweet, and Wizzard are coming up soon - the major Glam rock bands than Gary Glitter!""",1,
858,I saw this tour in Boston and I swear the beginning of Stand Back was different. It was a sound a wave that started out soft and no one knew what song was coming till it got louder and louder and then the synths kicked in. Does anyone else remember this? No-I wasn't high!,-1,
859,"""Awesome, I needed a guide on this achievement.""",0,
860,lol haha and then the double back and they wont even be able to do it,1,
861,Baddest assed beat ever heard.. Kinda like that Young Jeezy beat...,1,
862,@KFCNYUKAA lulz.,0,
863,only one lyric I'm not sure about that may be wrong due to watching his live performances change in brackets [ ]:You're my bad habit babyYou're myYou're taking my souldown to the level [O],-1,
864,"""1:00 i eat grilled cheeses with a sliced pickle also , i love the contrastin flavor of the dill pickle taste and the crispness of it against the softy gooey and somewhat sweet melted cheese and buttery toasted bread""",1,
865,I absolutely love this Apron! I think I'll make a couple for my Great-Granddaughters for Christmas. Thanks a bunch!,1,
866,: ),0,
867,I like how you're not sponsored. Keep it real. Looking forward to what you have to offer!,1,
868,how long will it last before you do it again?,0,
869,my call outLondonTeyonaAllisonCeliaNatalieSandraThaliaCourtneyNijahJessica FoEliminated - Aminat,-1,
870,"""wow, my mind is completely blown. i would give anything to draw like that! :D""",1,
871,you are absolutely correct !!,0,
872,sooo cute....! i am totally doing this,1,
873,"""I love how you can hear people in the audience singing """"Cherry blossom girl""""They sound beautiful live!""",1,
874,@NuraHawk It wasnt that hard! :),1,
875,...and what if the world is really depressing? God didnt heal you? You are speaking to thousands of people and they are listening !!! Spiritually you hang on to Jesus like you never have before. This IS healed !!! You have to hold on to this truth- Jesus died for you when the world didnt care. Onward Christian !!! remember your love for Christ? Shine before the world !!!,-1,
876,"""Oh, yeah I subscribed and marked this as my favorite.""",1,
877,Is this crazy Macadoodle Fife?,-1,
878,godbless alex jones and dr scott whitaker,0,
879,I'd fucking kick the living shit out of the driver after the race............... Track him down and pound him down relentlessly..................... Go to his house and fuck his wife.,-1,
880,"""Genies in bottles, toothpaste in tubes.... Is it too much to ask, that these """"highly educated"""" people we elect to office can clearly literate their ideas, take responsibility and solve problems? oh wait......yes it is. People who once held these same positions 50 years ago, thought marijuana caused Blacks and Mexicans to rape white women, that """"reefer madness"""" was real.How long can an oligarchy monkey fuck the truth and we stand around and take it? SPEAK OUT!""",-1,
881,BEST EVER!!!!!!!!!!!!!!!!!!!!!!!!!!,1,
882,I love this look! Thanks for the vid!,1,
883,haha well said,1,
884,booty bag?,0,
885,"""LOL cool vid, I'VE BEEN THERE!!!!! XD u guys seem really cool!""",1,
886,"""i""""m a big fan of the wall and i will tell all of you why the wall is all of me and avrey time i see the wall movey or here th cd and i just get the feling of that i belong to the wall.""",0,
887,"""Oh, Wonder boy is upset!""",-1,
888,si asi como pelea culea puta madre,0,
889,My daughter is 1/2 Khmer/Cambodian and she loves this song. She is 3 and loves to dance to it. Too bad her grandfather (Nay Koy) is an azzhole lol.,1,
890,Sounds like am saturday lol,1,
891,if a man talk about another man when that man aint present that man dont listen.thats true shit,-1,
892,...Maybe they could get Aaron for Ling?,0,
893,"""Hee Hee! at 0:03... I see THUMB!Wonderful return bC2! This piece is *so* quirky-cool... sort of a classical-jazz audio-dada-ist set of flavors to it... I think.It's amazing to me how well what you play fits, yet is so distinctly YOU... such versatility!""",1,
894,@7PietroNe1 ,0,
895,Thanks Yeadon,1,
896,"""I love your vids, keep em coming! Its really great for guys like me who can't get get the game right now! :)""",1,
897,I wana a pet pot belly piggy!,0,
898,Every track on this CD is a masterpiece. Gould playing of Gibbons and Byrd is the equal of his Bach playing. The Sweelinck is also great.,1,
899,"""I was refering to people like """"charlesischuck """" who obviously thinks he's a present day Einstein.""",1,
900,Thankyou for doing this :),1,
901,@SounzNice Where is that specified in the bible?,0,
902,"""Nice, I like this piece. Brings back memories. (what little I have) I kinda wish I was there""",1,
903,"""@MatthiasVargas not really. while it is true in the NC case, as there are directly contradicting laws, in the case of banning christianity for example, it says, congress shall make no law, and not that such law could not be made by a state. so a state law""",-1,
904,how much did it cost you guys to build that??? cuz i would buy one 4 sure.,0,
905,cat fight at 5:30,-1,
906,"""Subhanallah, Love This So Much""",0,
907,Great,1,
908,batgammon black????????,0,
909,"""I tuned my greenwood and it blew up. Not whilst tuning, I mean when I got back to Ganton, some guy jacked it so I kept shooting him and the car blew up.""",-1,
910,That was a deffo win for the boy in blue. He was robbed.,0,
911,you are completely right,0,
912,"""Thanks , looks easy but effective.....""",0,
913,Fantastic! I love Jack Lemmon!! Thanks so much for uploading this.,1,
914,"""@AnneWorld no it dosent, it messes up the bow though >.> like i snapped almost all the hairs on mine.... but you can get some amazing sounds with some creativity and a wah ;D""",1,
915,"""@Nintendomanwill Of course that wasn't an experienced audience, his traditional seminar ended before this lecture, probably it should be for undergraduate students, but even today confusion between public and private are common due to keynes, it is necess""",-1,
916,hey mk pur3...FUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUCK YOU,1,
917,Excellent video! It does a great job of promoting the Capital District and all of its assets to high technology.,1,
918,"""@kblank18 I agree. Man, I remember it putting the hurt on charizard o_o. I always loved that pokemon because it was so powerful. """,1,
919,Cool pack....can it fit on the JUMBO VERSIPACK?,1,
920,"""lol, the sioux deserved this win reason is because they basically outplay every team and mario lamourauex would have kicked marvins ass, mario has been in so many fights lol st cloud wont go very far with poor defense and sioux defense #3 in the country YA YA!!!!""",-1,
921,"""love this song man. im a huge stoopid fan. are you from san diego by any chance? i got a waffle perc too, amazing hit.""",1,
922,If you can meet naughty women benaughtyman.info,-1,
923,Aston <3 iluu xxx,1,
924,Ugly Organ is by far their best.,-1,
925,here's a site ya all will love video2mp3(dot)net you can convert youtube videos to mp3s for free without downloading any programs and you can get the music that you want all the time,1,
926,"""My dad uses Sta-Sound for his dog. She was shot as a 3 year old and had a bad limp ever since. After 5 days of use, she no longer limps and can run again.""",-1,
927,that was awesome,1,
928,"""Thanks for the helpful video, but do you know how to make them run?""",1,
929,bling 989 i hope your not talkin about this song if you are listen a little closer brother peace.,1,
930,Excelente el video... me fascina...gracias,1,
931,wow this is a good lecture. Sorry for the facetiousness.,1,
932,rong send ung isa kong comment sentido kumon pre!! ^^,0,
933,"""its gonna end up being a draw. i wanna be a vintage wrestler, lol.""",1,
